DATA VENDA,PRODUTO,VALOR,ESTADO,REGIÃO
2017-01-01,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-01,Saveiro, R$ 47490.00 ,Goiás,Centro-Oeste
2017-01-01,Saveiro, R$ 47490.00 ,Rio Grande do Sul,Sul
2017-01-01,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-01,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-01,Up!, R$ 37990.00 ,Alagoas,Nordeste
2017-01-01,Up!, R$ 37990.00 ,Pará,Norte
2017-01-01,Saveiro, R$ 47490.00 ,Roraima,Norte
2017-01-01,Up!, R$ 37990.00 ,Goiás,Centro-Oeste
2017-01-01,Gol, R$ 42990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-01,Fox, R$ 54750.00 ,Rio de Janeiro,Sudeste
2017-01-01,SpaceFox, R$ 59160.00 ,Acre,Norte
2017-01-01,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-02,Fox, R$ 54750.00 ,Pernambuco,Nordeste
2017-01-02,Saveiro, R$ 47490.00 ,Ceará,Nordeste
2017-01-02,Fox, R$ 54750.00 ,Rondônia,Norte
2017-01-02,Saveiro, R$ 47490.00 ,Pernambuco,Nordeste
2017-01-02,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-02,Gol, R$ 42990.00 ,Acre,Norte
2017-01-02,Gol, R$ 42990.00 ,Acre,Norte
2017-01-02,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-02,Gol, R$ 42990.00 ,Amapá,Norte
2017-01-02,Fox, R$ 54750.00 ,Paraná,Sul
2017-01-02,Gol, R$ 42990.00 ,Rio Grande do Norte,Nordeste
2017-01-02,Voyage, R$ 49990.00 ,Rondônia,Norte
2017-01-02,Up!, R$ 37990.00 ,Rio Grande do Norte,Nordeste
2017-01-02,Gol, R$ 42990.00 ,Bahia,Nordeste
2017-01-02,Fox, R$ 54750.00 ,Acre,Norte
2017-01-02,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-02,SpaceFox, R$ 59160.00 ,Rio de Janeiro,Sudeste
2017-01-03,Saveiro, R$ 47490.00 ,Ceará,Nordeste
2017-01-03,Fox, R$ 54750.00 ,Goiás,Centro-Oeste
2017-01-03,Gol, R$ 42990.00 ,Rio Grande do Norte,Nordeste
2017-01-03,Voyage, R$ 49990.00 ,Rio de Janeiro,Sudeste
2017-01-03,Fox, R$ 54750.00 ,São Paulo,Sudeste
2017-01-03,Fox, R$ 54750.00 ,Rondônia,Norte
2017-01-03,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-03,SpaceFox, R$ 59160.00 ,Alagoas,Nordeste
2017-01-03,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-03,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-03,Saveiro, R$ 47490.00 ,Rio Grande do Sul,Sul
2017-01-04,SpaceFox, R$ 59160.00 ,Goiás,Centro-Oeste
2017-01-04,Gol, R$ 42990.00 ,Ceará,Nordeste
2017-01-04,Gol, R$ 42990.00 ,Paraná,Sul
2017-01-04,Up!, R$ 37990.00 ,Amapá,Norte
2017-01-04,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-04,Gol, R$ 42990.00 ,Rio Grande do Norte,Nordeste
2017-01-04,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-04,Up!, R$ 37990.00 ,Goiás,Centro-Oeste
2017-01-04,Voyage, R$ 49990.00 ,Maranhão,Nordeste
2017-01-04,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-04,Fox, R$ 54750.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-04,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-04,Jetta, R$ 94190.00 ,São Paulo,Sudeste
2017-01-04,Fox, R$ 54750.00 ,Pernambuco,Nordeste
2017-01-04,SpaceFox, R$ 59160.00 ,Sergipe,Nordeste
2017-01-05,Up!, R$ 37990.00 ,Alagoas,Nordeste
2017-01-05,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-05,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-05,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-05,SpaceFox, R$ 59160.00 ,Pernambuco,Nordeste
2017-01-05,Up!, R$ 37990.00 ,Rio de Janeiro,Sudeste
2017-01-05,Gol, R$ 42990.00 ,Piauí,Nordeste
2017-01-05,Voyage, R$ 49990.00 ,Espírito Santo,Sudeste
2017-01-05,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-05,Fox, R$ 54750.00 ,Amazonas,Norte
2017-01-05,Jetta, R$ 94190.00 ,Paraná,Sul
2017-01-05,Saveiro, R$ 47490.00 ,Amazonas,Norte
2017-01-05,Gol, R$ 42990.00 ,Mato Grosso do Sul,Centro-Oeste
