Dist,Elev
0,770.424409
0.902825,771.367256
0.937119,771.368566
3.910769,771.430308
10.089751,771.461696
11.704385,771.486894
18.987703,771.504806
25.873777,771.503617
26.778855,771.505847
27.306468,771.509664
33.624169,771.506529
38.654671,771.503665
45.179984,771.498058
52.350109,771.49458
58.096327,771.4867
64.768222,771.473941
71.026903,771.458895
77.943953,771.443033
80.371611,771.436644
80.430278,771.434996
80.602766,771.425255
80.925049,771.39785
84.609299,771
86.316003,770.60549
86.488582,770.522233
86.525182,770.494059
86.558118,770.469956
90.525207,770.442824
91.144735,770.442575
92.679823,770.444747
94.21491,770.452495
95.749997,770.465801
96.471886,770.474658
97.285084,770.493119
97.646822,770.502652
97.783625,770.503005
97.870824,770.495386
98.141551,770.440909
98.609046,770.373201
98.820171,770.349165
99.785398,770.241104
100.272488,770.246672
100.355258,770.246508
100.62898,770.247318
101.890345,770.070287
102.406729,770
103.425433,769.903871
105.709383,769.691867
106.810732,769.626055
109.019526,769.473828
110.070966,769.403589
110.697825,769.364453
111.122407,769.335335
112.098604,769.272248
112.173847,769.267884
112.631325,769.243408
112.886852,769.235964
113.225288,769.241674
114.200608,769.264547
114.276728,769.261109
115.328169,769.22136
115.410649,769.21886
115.420536,769.219025
116.379609,769.228831
116.550469,769.231201
116.555899,769.231015
117.509207,769.289194
117.542203,769.286557
118.214466,769.212674
118.333274,769.203489
118.436406,769.199063
118.542816,769.198154
118.670371,769.200105
118.892221,769.230879
119.203312,769.280598
119.346547,769.290696
123.690195,769.57369
131.154651,769.599525
131.277762,769.599983
131.286456,769.600258
133.712044,769.677428
137.387055,769.688042
141.200848,769.70301
141.273125,769.723532
142.382995,769.781596
145.697639,769.910573
148.124617,770
152.454586,770.471452
152.853917,770.475409
154.595813,770.482118
154.601397,770.495985
154.607317,770.511107
154.667005,770.523257
154.913997,770.546232
155.698167,770.613903
156.033139,770.651613
158.233911,771
159.268228,771.176828
163.838414,772
167.259318,772.615981
169.456007,773
174.548016,773.94344
174.820303,774
175.112234,774.068365
176.680279,774.449399
179.330678,775
180.663815,775.313644
181.681895,775.31641
181.89087,775.320677
182.28933,775.346573
183.908538,775.521181
184.734207,775.591266
185.398731,775.621745
186.190374,775.637733
191.174929,776
192.548066,776.497499
199.446992,776.535369
200.427292,776.602713
200.788209,776.62947
200.94651,776.639985
201.105981,776.645545
201.278329,776.64883
201.433572,776.650651
201.569411,776.651547
206.141332,776.62423
207.365465,776.643776
208.223389,776.671645
208.78918,776.708393
209.206415,776.754194
210.086758,776.868447
210.657852,776.927063
211.400359,776.980028
211.426118,776.980264
211.742686,777
213.867113,777.230774
214.642307,777.287955
215.122473,777.320482
215.764236,777.385197
216.886166,777.48696
217.93481,777.571095
218.008095,777.579417
218.585092,777.638484
219.130025,777.656853
220.251955,777.684123
221.373884,777.700742
222.495814,777.70665
223.617743,777.701825
227.926421,777.662695
228.690838,777.695368
228.778824,777.700296
229.495196,777.738192
229.610887,777.740529
229.773668,777.742561
230.44295,777.731972
230.450538,777.731788
231.275013,777.716293
231.862198,777.700364
232.107076,777.6952
232.93914,777.670575
233.706934,777.641462
233.771203,777.639471
234.263398,777.620085
234.464041,777.61033
234.603266,777.602146
235.435329,777.547621
235.519504,777.541832
236.794266,777.46408
241.587288,777.204466
245.056781,777
246.618826,776.834317
247.272104,776.82082
247.653308,776.818484
248.029607,776.821185
253.00594,776.452007
254.508376,776.474496
255.356552,776.484038
255.367175,776.484078
255.544732,776.469947
256.204728,776.460187
257.052904,776.44208
257.901081,776.418524
257.987242,776.415859
259.942021,776.371836
260.460892,776.369366
266.925695,776.330405
267.654088,776.331065
268.693756,776.318207
269.368947,776.304664
269.764737,776.293105
269.965107,776.285737
270.044599,776.281622
270.080387,776.278854
270.135694,776.275868
270.206712,776.272844
270.272252,776.270422
270.316175,776.26908
270.344456,776.268607
273.978303,776.280575
273.981498,776.282347
273.984733,776.284151
274.008552,776.284149
274.041124,776.284393
274.08897,776.285325
274.113316,776.286518
274.182841,776.288747
274.274877,776.292544
274.493562,776.303052
274.580122,776.304482
277.554075,776.324299
278.409865,776.329286
278.614246,776.332584
279.026631,776.343318
279.347865,776.348166
285.272738,776.415713
286.388048,776.424071
286.978262,776.435135
287.484638,776.456516
287.914735,776.486454
288.272217,776.519979
288.566114,776.551009
288.924786,776.580477
289.548952,776.613042
290.633826,776.652007
292.087648,776.685143
296.024814,776.721062
297.49523,776.726629
299.04804,776.695943
301.288331,776.611944
301.918267,776.594042
302.522517,776.607852
303.504402,776.675668
304.308704,776.745361
304.371427,776.750806
305.547757,776.853119
307.037689,777
308.448814,777.129805
309.626501,777.279841
313.237485,777.369916
316.183081,777.412544
322.356806,777.451746
330.170696,777.495434
330.52199,777.507
330.910281,777.532724
331.426019,777.583258
332.143515,777.671753
333.201844,777.826916
334.164835,778
340.481384,778.481083
340.484208,778.481275
340.486195,778.481372
340.487813,778.481427
340.488973,778.481461
343.174133,778.494285
343.627648,778.501616
343.846402,778.514348
344.098271,778.53818
348.073831,779
348.142848,779.014813
348.544569,779.08372
348.773271,779.09605
348.960836,779.072845
349.197285,779.028645
349.42239,779
349.545853,778.999675
349.617793,778.999745
349.859816,778.999776
349.905559,779
350.475864,779.050355
350.521241,779.051636
350.617525,779.058061
352.67687,779.253904
358.698355,779.723452
360.481437,779.86563
360.599892,779.871704
360.784913,779.875615
362.332626,780
362.627374,780.027518
363.392447,780.076883
364.145835,780.105276
365.072278,780.131872
366.86594,780.174282
368.140644,780.20135
369.328332,780.213584
370.313606,780.20477
371.228257,780.200895
372.142908,780.205643
373.057559,780.218981
373.97221,780.240809
374.615455,780.262019
374.886861,780.277904
375.801512,780.338859
376.505338,780.391132
376.716163,780.404516
377.630814,780.470331
378.545465,780.543415
379.460116,780.623228
380.374767,780.709186
381.289418,780.800654
382.204069,780.896962
383.11872,780.9974
383.141622,781
384.033371,781.149978
384.948022,781.307703
385.862673,781.468162
386.777324,781.630176
387.691975,781.792554
388.131143,781.870121
388.585434,781.943202
388.606625,781.947294
388.883757,782
389.026049,782.043073
389.521276,782.176887
390.435927,782.419231
392.655317,783
396.096597,783.857959
396.638532,784
398.42662,784.414569
400.938915,785
403.248297,785.587329
405.033963,786
405.440124,786.108108
408.459901,787
410.354295,787.460276
412.699975,788
414.808002,788.494935
416.746591,789
418.900911,789.511496
420.776307,790
