Nome,Ticker
ADVANCED-DH ON,ADHM3
AES TIETE E ON,TIET3
AES TIETE E PN,TIET4
AFLUENTE T ON,AFLT3
ALEF S/A ON,ALEF3B
ALFA PNA,RPAD5
ALFA ON,RPAD3
ALFA PNB,RPAD6
ALPER ON,APER3
ALPER ON,APER1
ALUPAR ON,ALUP3
ALUPAR PN,ALUP4
AMBEV S/A ON,ABEV3
AMPLA ENERG ON,CBEE3
Andrade Gutierrez Partic... PN,CANT4B
Andrade Gutierrez Partic... ON,CANT3B
ANIMA ON,ANIM3
AREZZO ON,ARZZ3
ATOMPAR ON,ATOM3
AZEVEDO ON,AZEV3
AZEVEDO PN,AZEV4
AZUL PN,AZUL4
B2W DIGITAL ON,BTOW3
B3 ON,B3SA3
BAHEMA ON,BAHI3
BAHEMA ON,BAHI9
BTGP BANCO PNA,BPAC5
BTGP BANCO ON,BPAC3
BANCO INTER ON,BIDI3
BANCO INTER PN,BIDI4
BANCO PAN PN,BPAN10
BANCO PAN PN,BPAN4
SANTANDER BR PN,SANB4
SANTANDER BR ON,SANB3
BANESTES ON,BEES3
BANESTES PN,BEES4
BARDELLA PN,BDLL4
BARDELLA ON,BDLL3
BATTISTELLA ON,BTTL3
BAUMER ON,BALM3
BAUMER PN,BALM4
BBMLOGISTICA ON,BBML3
BBSEGURIDADE ON,BBSE3
ABC BRASIL PN,ABCB4
ALFA INVEST PN,BRIV4
ALFA INVEST ON,BRIV3
AMAZONIA ON,BAZA3
BRADESCO PN,BBDC4
BRADESCO ON,BBDC3
BRASIL ON,BBAS12
BRASIL ON,BBAS11
BRASIL ON,BBAS3
BANPARA ON,BPAR3
BANRISUL ON,BRSR3
BANRISUL PNA,BRSR5
BANRISUL PNB,BRSR6
BANESE ON,BGIP3
BANESE PN,BGIP4
FINANSINOS ON,FNCN3
INDUSVAL ON,IDVL3
INDUSVAL PN,IDVL4
MERC BRASIL ON,BMEB3
MERC BRASIL PN,BMEB4
MERC INVEST ON,BMIN3
MERC INVEST PN,BMIN4
NORD BRASIL ON,BNBR3
PINE PN,PINE4
PINE ON,PINE3
BDRX,BDRX11
BETAPART ON,BETP3B
BIC MONARK ON,BMKS3
BIOMM ON,BIOM3
BIOMM ON,BIOM1
BIOSEV ON,BSEV3
BK BRASIL ON,BKBR3
BOMBRIL ON,BOBR3
BOMBRIL PN,BOBR4
BR MALLS PAR ON,BRML3
BR PROPERT ON,BRPR3
BRADESPAR ON,BRAP3
BRADESPAR PN,BRAP4
BR BROKERS ON,BBRK3
IRBBRASIL RE ON,IRBR3
BRASILAGRO ON,AGRO3
BRASKEM ON,BRKM3
BRASKEM PNA,BRKM5
BRASKEM PNB,BRKM6
BRB BANCO ON,BSLI3
BRB BANCO PN,BSLI4
BRF ON,BRFS3
BRQ ON,BRQB3
C&A Modas Ltda on NM ON,CEAB3
CABINDA PART ON,CABI3B
CACONDE PART ON,CACO3B
Caianda Participacoes ON,CAIA3B
CAMBUCI PN,CAMB4
CAMBUCI ON,CAMB3
CAMIL ON,CAML3
CAPITALPART ON,CPTP3B
CARREFOUR BR ON,CRFB3
CCR ON,CCRO3
CCX CARVAO ON,CCXC3
CELPA PNC,CELP7
CELPA PNA,CELP5
CELPA PNB,CELP6
CELPA ON,CELP3
CELUL IRANI ON,RANI3
CELUL IRANI PN,RANI4
CEMAR PNB,ENMA6B
CEMAR PNA,ENMA5B
CEMAR ON,ENMA3B
CEMEPE ON,MAPT3
CEMEPE PN,MAPT4
ELETROBRAS PNA,ELET5
ELETROBRAS ON,ELET3
ELETROBRAS PNB,ELET6
CELESC ON,CLSC3
CELESC PN,CLSC4
ALLIAR ON,AALR3
CEPAC - MCRJ,MCRJ11B
CEPAC - CTBA,CTBA11B
CESP ON,CESP3
CESP PNB,CESP6
CESP PNA,CESP5
P.ACUCAR-CBD PN,PCAR4
P.ACUCAR-CBD ON,PCAR3
CASAN ON,CASN3
CASAN PN,CASN4
CEG ON,CEGR3
COELBA PNB,CEEB6
COELBA ON,CEEB3
COELBA PNA,CEEB5
CEB PNB,CEBR6
CEB ON,CEBR3
CEB PNA,CEBR5
COELCE PNA,COCE5
COELCE ON,COCE3
COELCE PNB,COCE6
CEMIG ON,CMIG3
CEMIG PN,CMIG4
CELPE ON,CEPE3
CELPE PNA,CEPE5
CELPE PNB,CEPE6
COSERN PNB,CSRN6
COSERN PNA,CSRN5
COSERN ON,CSRN3
CEEE-D ON,CEED3
CEEE-D PN,CEED4
FERBASA PN,FESA4
FERBASA ON,FESA3
CEDRO PN,CEDO4
CEDRO ON,CEDO3
COMGAS ON,CGAS3
COMGAS PNA,CGAS5
HABITASUL PNA,HBTS5
HABITASUL ON,HBTS3
HABITASUL PNB,HBTS6
CIA HERING ON,HGTX3
IND CATAGUAS ON,CATA3
IND CATAGUAS PN,CATA4
LOCAMERICA ON,LCAM3
MELHOR SP ON,MSPA3
MELHOR SP PN,MSPA4
COPEL PNA,CPLE5
COPEL ON,CPLE3
COPEL PNB,CPLE6
PAR AL BAHIA ON,PEAB3
PAR AL BAHIA PN,PEAB4
SANEPAR ON,SAPR3
SANEPAR PN,SAPR4
COPASA ON,CSMG3
SEG AL BAHIA ON,CSAB3
